Date;Kejernihan Langit;Suhu;Kecepatan Angin
16/06/2023;0.62;18.86;1.16
17/06/2023;0.5;18.5;1.19
18/06/2023;0.45;18.83;1.07
19/06/2023;0.69;18.86;1.18
20/06/2023;0.72;19.64;0.88
21/06/2023;0.62;20.64;0.7
22/06/2023;0.34;20.79;0.67
23/06/2023;0.51;21.08;0.62
24/06/2023;0.55;20.3;0.63
25/06/2023;0.46;20.04;0.75
26/06/2023;0.5;19.9;0.66
27/06/2023;0.38;19.29;0.61
28/06/2023;0.48;20;0.76
29/06/2023;0.48;19.89;0.71
30/06/2023;0.34;19.1;1.49
01/07/2023;0.34;18.42;1.63
02/07/2023;0.45;19.2;0.91
03/07/2023;0.66;19.58;0.66
04/07/2023;0.63;20.41;0.66
05/07/2023;0.64;19.83;0.79
06/07/2023;0.6;20.59;0.85
07/07/2023;0.52;20.43;0.64
08/07/2023;0.37;19.89;0.62
09/07/2023;0.5;19.78;1.01
10/07/2023;0.44;19.23;1.08
11/07/2023;0.5;18.93;0.81
12/07/2023;0.55;20.48;0.65
13/07/2023;0.41;19.2;0.75
14/07/2023;0.39;18.36;1.01
15/07/2023;0.62;19.31;1.22
16/07/2023;0.62;19.38;1.14
17/07/2023;0.52;19.26;1.15
18/07/2023;0.4;19.37;1.19
19/07/2023;0.28;18.81;1.12
20/07/2023;0.52;19.57;1.31
21/07/2023;0.55;19.93;0.84
22/07/2023;0.42;19.18;1.2
23/07/2023;0.57;19.15;1.16
24/07/2023;0.57;19.3;1.34
25/07/2023;0.54;18.63;1.15
26/07/2023;0.53;18.94;1
27/07/2023;0.62;20.17;0.84
28/07/2023;0.59;20.59;1.04
29/07/2023;0.61;20.35;0.98
30/07/2023;0.3;19.19;1.01
31/07/2023;0.49;20.01;0.66
01/08/2023;0.36;19.76;1.05
02/08/2023;0.55;20.05;1.04
03/08/2023;0.59;20.62;0.9
04/08/2023;0.56;20.9;0.67
05/08/2023;0.41;20.57;0.8
06/08/2023;0.4;20.79;0.91
07/08/2023;0.48;19.41;0.88
08/08/2023;0.42;19.97;0.61
09/08/2023;0.38;20.33;0.79
10/08/2023;0.41;20.49;0.61
11/08/2023;0.45;20.09;0.52
12/08/2023;0.49;20.03;0.62
13/08/2023;0.32;19.93;0.7
14/08/2023;0.3;19.61;1.13
15/08/2023;0.5;19.25;0.85
16/08/2023;0.45;19.63;0.62
17/08/2023;0.42;20.56;0.55
18/08/2023;0.59;20.37;0.75
19/08/2023;0.59;20.35;0.93
20/08/2023;0.59;20.46;1.14
21/08/2023;0.49;19.33;0.91
22/08/2023;0.49;20.08;0.72
23/08/2023;0.46;20.27;0.76
24/08/2023;0.5;20.73;0.55
25/08/2023;0.47;19.8;0.52
26/08/2023;0.4;19.76;0.62
27/08/2023;0.55;21.2;0.68
28/08/2023;0.55;20.73;0.95
29/08/2023;0.41;20.37;1.1
30/08/2023;0.57;19.72;0.91
31/08/2023;0.53;19.82;0.76
01/09/2023;0.31;20.13;0.75
02/09/2023;0.5;20.23;1.02
03/09/2023;0.35;20.3;0.62
04/09/2023;0.35;20.12;0.49
05/09/2023;0.28;19.94;0.66
06/09/2023;0.39;20.57;0.77
07/09/2023;0.61;20.75;0.7
08/09/2023;0.58;20.42;0.75
09/09/2023;0.52;20.62;0.81
10/09/2023;0.35;19.78;0.73
11/09/2023;0.62;20.55;0.72
12/09/2023;0.45;20.24;0.73
13/09/2023;0.55;20.48;0.58
14/09/2023;0.41;20.01;0.52
15/09/2023;0.49;20.22;0.7
16/09/2023;0.39;20.33;0.66
17/09/2023;0.41;20.8;0.55
18/09/2023;0.4;20.25;0.71
19/09/2023;0.47;20.48;0.57
20/09/2023;0.4;20.23;0.74
21/09/2023;0.38;20.02;0.6
22/09/2023;0.38;20.34;0.88
23/09/2023;0.36;19.34;1.22
24/09/2023;0.45;19.4;1.23
25/09/2023;0.27;19.65;1.3
26/09/2023;0.48;19.65;0.74
27/09/2023;0.34;19.72;0.9
28/09/2023;0.55;21.23;0.78
29/09/2023;0.41;20.74;0.65
30/09/2023;0.56;21.06;0.63
01/10/2023;0.47;21.32;0.85
02/10/2023;0.38;21.08;0.66
03/10/2023;0.45;20.49;0.71
